Date,Salesperson,Customer Name,Car Make,Car Model,Car Type,Car Year,Sale Price,Commission Rate,Commission Earned
2022-08-01,Terry Perkins MD,Mary Butler,Nissan,Altima,Convertible,2018,15983,0.070495228,1126.73
2023-03-15,Terry Perkins MD,Richard Pierce,Nissan,F-150,Convertible,2016,38474,0.134438837,5172.4
2023-04-29,Eric Lopez,Sandra Moore,Ford,Civic,SUV,2016,33340,0.114535922,3818.63
2022-09-04,Roberto Rose,Johnny Scott,Ford,Altima,Sedan,2013,41937,0.092190722,3866.2
2022-06-16,Eric Lopez,Vanessa Jones,Honda,Silverado,Hatchback,2022,20256,0.113489793,2298.85
2022-12-18,Roberto Rose,John Olsen,Ford,Altima,SUV,2015,14769,0.077246935,1140.86
2022-06-12,Ashley Ramos,Tyler Lawson,Honda,F-150,Sedan,2013,41397,0.14278012,5910.67
2022-06-20,Scott Parker,Michael Bond,Ford,Altima,Hatchback,2015,46233,0.071623758,3311.38
2022-09-02,Ashley Ramos,Stephanie Smith,Ford,Corolla,SUV,2021,27337,0.099503651,2720.13
2023-04-06,Norma Watkins,Ashley Moreno DDS,Ford,Civic,Sedan,2018,16309,0.149925782,2445.14
2023-03-12,Roberto Rose,Isaac Patton,Honda,Silverado,SUV,2021,41259,0.09254116,3818.16
2023-01-29,Patrick Harris,Justin Gray,Toyota,Silverado,MiniVan,2022,48224,0.090592146,4368.72
2022-05-29,Ashley Ramos,Rebecca Best,Ford,Altima,MiniVan,2017,36409,0.122348852,4454.6
2022-08-12,Ashley Brown,Lisa Anderson,Toyota,F-150,MiniVan,2011,29628,0.112326294,3328
2023-04-06,Scott Parker,Rodney Black,Chevrolet,Altima,MiniVan,2021,10313,0.103874895,1071.26
2022-12-21,Scott Parker,Natalie Thompson,Honda,Corolla,Convertible,2016,36607,0.055250978,2022.57
2022-08-12,Eric Lopez,Michael Hill,Nissan,Altima,Convertible,2010,39916,0.052007775,2075.94
2022-08-23,Ashley Ramos,Taylor Moore,Nissan,Silverado,Hatchback,2018,18482,0.086185324,1592.88
2022-10-18,Scott Parker,Jordan Taylor,Toyota,Civic,MiniVan,2013,17158,0.127227796,2182.97
2023-03-09,Eric Lopez,Alison Walker,Ford,Altima,MiniVan,2014,28796,0.093451209,2691.02
2022-09-28,Terry Perkins MD,Juan Davies,Ford,Corolla,Hatchback,2014,24128,0.084780882,2045.59
2022-12-20,Monica Moore MD,Kristin Robinson,Toyota,Civic,Convertible,2011,36895,0.128288109,4733.19
2022-07-26,Eric Lopez,Clifford Evans,Nissan,Altima,MiniVan,2013,16797,0.144237331,2422.75
2022-07-18,Terry Perkins MD,Nancy Martinez,Chevrolet,Altima,SUV,2020,30184,0.136991193,4134.94
2022-12-19,Patrick Harris,Ruben Gomez,Nissan,Civic,Convertible,2010,41587,0.084404408,3510.13
2023-02-15,Monica Moore MD,Jimmy Dunn,Honda,Silverado,Sedan,2016,35279,0.063399664,2236.68
2022-06-23,Ashley Brown,David Wagner,Chevrolet,F-150,SUV,2016,33502,0.122923326,4118.18
2022-07-14,Monica Moore MD,Claire Day,Nissan,F-150,MiniVan,2018,30296,0.100170363,3034.76
2022-07-17,Patrick Harris,Corey West,Honda,Corolla,Sedan,2018,28406,0.085246638,2421.52
2022-12-11,Scott Parker,Rebecca Hansen,Chevrolet,F-150,SUV,2012,20725,0.145073441,3006.65
2022-07-18,Scott Parker,Jason Hahn,Ford,Altima,Convertible,2011,23330,0.068980756,1609.32
2022-05-13,Ashley Ramos,Jerry Baker,Chevrolet,Silverado,Hatchback,2019,41216,0.12869098,5304.13
2022-09-05,Terry Perkins MD,April Morales,Ford,Silverado,Convertible,2022,43188,0.099220141,4285.12
2022-12-30,Eric Lopez,Kelly Beasley,Chevrolet,Altima,Sedan,2013,15064,0.053381651,804.14
2022-07-02,Terry Perkins MD,Jennifer Brown,Toyota,Altima,MiniVan,2015,36019,0.098335927,3541.96
2023-02-04,Terry Perkins MD,Brittany Gonzales,Chevrolet,Civic,SUV,2019,23249,0.141622041,3292.57
2022-10-08,Norma Watkins,Ryan Medina,Nissan,Civic,Sedan,2016,38278,0.056340279,2156.59
2023-01-24,Ashley Brown,Timothy Mccoy,Nissan,Silverado,Hatchback,2018,38307,0.07953119,3046.6
2023-04-15,Scott Parker,Matthew Anderson,Chevrolet,Corolla,Sedan,2015,36834,0.080895726,2979.71
2022-08-10,Monica Moore MD,Richard Wolf,Ford,Civic,SUV,2012,31941,0.102854838,3285.29
2022-05-25,Patrick Harris,Rachel Madden,Honda,Civic,Hatchback,2011,17997,0.062692864,1128.28
2023-02-15,Ashley Ramos,Lynn Villarreal,Honda,Corolla,Hatchback,2015,44250,0.115044401,5090.71
2023-04-18,Monica Moore MD,Jesse Dunn,Nissan,Corolla,Hatchback,2013,13194,0.118621261,1565.09
2022-11-14,Ashley Brown,Amanda Combs,Ford,Civic,Sedan,2012,29108,0.122976628,3579.6
2022-05-24,Roberto Rose,Amy Sanchez,Chevrolet,F-150,SUV,2013,26168,0.136261663,3565.7
2023-03-23,Terry Perkins MD,Matthew Peterson,Chevrolet,Civic,Hatchback,2013,14864,0.077744275,1155.59
2022-09-03,Scott Parker,Sabrina Williams,Toyota,Corolla,Sedan,2012,28564,0.061851657,1766.73
2022-07-02,Patrick Harris,Marc Caldwell,Nissan,Corolla,Sedan,2021,21224,0.093014227,1974.13
2022-12-16,Eric Lopez,Edgar Smith,Nissan,Corolla,SUV,2011,29018,0.145968717,4235.72
2023-03-13,Scott Parker,Carrie Hudson,Toyota,F-150,Hatchback,2016,45367,0.081734072,3708.03
2022-08-17,Roberto Rose,Colleen Fischer,Chevrolet,Altima,Sedan,2021,17832,0.051852876,924.64
2023-01-03,Terry Perkins MD,Kristine Hernandez,Ford,Civic,SUV,2014,39908,0.108985073,4349.38
2022-11-30,Patrick Harris,Virginia Joyce,Toyota,Corolla,Hatchback,2016,14609,0.091409362,1335.4
2023-04-13,Eric Lopez,Carlos Fields,Nissan,Altima,Convertible,2022,13508,0.146756353,1982.38
2022-12-24,Ashley Brown,Christie Odonnell,Chevrolet,F-150,SUV,2022,13280,0.122885977,1631.93
2023-02-11,Eric Lopez,Linda Conrad,Nissan,Altima,SUV,2019,46164,0.144673804,6678.72
2022-08-10,Roberto Rose,Randall Thompson,Ford,F-150,Hatchback,2013,14744,0.085092622,1254.61
2022-05-20,Eric Lopez,Carol Turner,Ford,Civic,Hatchback,2014,27999,0.09029834,2528.26
2022-07-19,Ashley Ramos,James Velazquez,Honda,Corolla,Hatchback,2010,24327,0.095457332,2322.19
2023-01-20,Ashley Brown,Joseph Marquez,Honda,Silverado,SUV,2015,35989,0.105519996,3797.56
2023-04-19,Scott Parker,Courtney Miller,Nissan,Silverado,Convertible,2017,21618,0.145337945,3141.92
2022-10-07,Monica Moore MD,Audrey Perry,Toyota,Corolla,Convertible,2022,26862,0.09513501,2555.52
2022-11-18,Terry Perkins MD,Tammy Wood,Chevrolet,F-150,MiniVan,2010,36750,0.102445532,3764.87
2023-02-01,Roberto Rose,Jeffrey Gillespie,Honda,Civic,Hatchback,2020,19526,0.128314718,2505.47
2023-01-24,Eric Lopez,Jennifer Cohen,Chevrolet,F-150,SUV,2019,26875,0.115654698,3108.22
2022-06-04,Ashley Ramos,Sharon Brooks,Ford,Civic,Hatchback,2019,10371,0.104990942,1088.86
2023-01-06,Monica Moore MD,Haley Sanders,Nissan,Altima,Hatchback,2019,13649,0.123331663,1683.35
2022-10-04,Norma Watkins,Denise Carter,Chevrolet,F-150,MiniVan,2017,29518,0.072624228,2143.72
2023-01-03,Norma Watkins,Claudia Ali,Toyota,Altima,SUV,2022,43019,0.146540852,6304.04
2022-11-16,Ashley Brown,Lori Byrd,Ford,Altima,Hatchback,2022,33493,0.146898115,4920.06
2023-04-03,Terry Perkins MD,Michael Lewis,Chevrolet,Altima,Convertible,2017,26262,0.123232015,3236.32
2022-08-25,Monica Moore MD,Debra Hudson,Toyota,Altima,Hatchback,2015,18282,0.148180712,2709.04
2023-04-12,Roberto Rose,Anthony Glover,Honda,F-150,MiniVan,2015,48916,0.099833576,4883.46
2023-04-01,Roberto Rose,Toni Acosta,Toyota,Civic,Hatchback,2016,48163,0.131807447,6348.24
2022-08-08,Monica Moore MD,Brian Lamb,Nissan,Civic,Convertible,2016,45824,0.105823117,4849.24
2023-02-19,Norma Watkins,Jeremy Jones,Nissan,Civic,Convertible,2018,16314,0.149343526,2436.39
